Statistics for ICV ML.  Version 1
Manager: RHEL64 W-2024.09-SP3-1.11364552 2025/02/11 
Flow=0
SharedRecipe=1
Subflows=
CMEM: 3032.0.0 9900 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 3030.0.0 9896 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2886.0.0 9388 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2888.0.0 9392 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2884.0.0 9384 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2880.0.0 9376 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2882.0.0 9380 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2878.0.0 9372 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2782.0.0 9040 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2780.0.0 9036 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2778.0.0 9032 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2776.0.0 9028 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2774.0.0 9024 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2772.0.0 9020 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2768.0.0 9012 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2770.0.0 9016 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2766.0.0 9008 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2612.0.0 8478 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2610.0.0 8474 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2608.0.0 8470 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2606.0.0 8466 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2604.0.0 8462 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.77 0.00 0.00
CMEM: 2602.0.0 8458 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.84 0.00 0.00
CMEM: 2460.0.0 7954 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2458.0.0 7950 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2456.0.0 7946 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2454.0.0 7942 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2452.0.0 7938 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2450.0.0 7934 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2308.0.0 7430 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2306.0.0 7426 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2304.0.0 7422 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2300.0.0 7414 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2302.0.0 7418 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2298.0.0 7410 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2156.0.0 6906 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2154.0.0 6902 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2152.0.0 6898 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2150.0.0 6894 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
